IP1,IP2,IP3,IP4,IP5,IP6,Average,Predikat
3.69,3.59,3.47,3.38,3.02,3.11,3.38,Sangat Memuaskan
3.69,3.33,3.47,2.73,2.99,3.06,3.21,Sangat Memuaskan
3.23,2.71,3.23,3.21,3.36,3.70,3.24,Sangat Memuaskan
2.58,2.58,3.19,3.99,3.15,3.11,3.10,Sangat Memuaskan
2.97,2.57,3.68,2.82,2.53,3.76,3.06,Sangat Memuaskan
3.57,2.60,2.67,2.64,3.67,3.41,3.09,Sangat Memuaskan
2.93,3.19,3.70,3.74,3.29,3.74,3.43,Sangat Memuaskan
3.46,2.96,3.97,2.65,2.64,3.41,3.18,Sangat Memuaskan
3.47,3.99,3.06,2.65,3.06,3.85,3.35,Sangat Memuaskan
3.92,2.94,2.61,3.61,2.57,3.22,3.14,Sangat Memuaskan
3.35,3.71,3.81,3.44,3.50,2.90,3.45,Sangat Memuaskan
3.08,3.58,3.42,3.20,3.29,3.91,3.41,Sangat Memuaskan
3.93,3.33,3.00,3.53,2.71,3.66,3.36,Sangat Memuaskan
3.76,2.54,3.75,3.92,2.66,2.81,3.24,Sangat Memuaskan
2.91,3.76,2.95,3.77,3.23,2.61,3.20,Sangat Memuaskan
3.62,3.21,3.95,3.06,3.27,3.15,3.38,Sangat Memuaskan
3.71,3.77,3.93,2.96,3.70,2.85,3.49,Sangat Memuaskan
2.83,2.82,2.86,2.99,3.01,2.72,2.87,Sangat Memuaskan
3.40,3.03,3.03,3.53,3.25,2.68,3.15,Sangat Memuaskan
2.99,2.80,3.03,3.18,2.75,3.67,3.07,Sangat Memuaskan
3.27,3.40,3.76,2.91,2.79,3.69,3.30,Sangat Memuaskan
3.38,3.52,3.21,3.92,3.77,2.53,3.39,Sangat Memuaskan
3.87,2.98,3.08,3.20,2.73,2.63,3.08,Sangat Memuaskan
2.94,3.40,2.90,3.62,3.85,2.89,3.27,Sangat Memuaskan
3.41,3.41,3.30,3.07,3.18,2.99,3.23,Sangat Memuaskan
2.97,3.53,3.10,3.42,3.05,3.98,3.34,Sangat Memuaskan
2.83,3.74,3.75,2.51,3.37,2.88,3.18,Sangat Memuaskan
2.69,2.84,3.86,3.72,3.11,3.87,3.35,Sangat Memuaskan
3.85,2.70,2.70,3.46,3.20,3.49,3.24,Sangat Memuaskan
3.89,3.86,2.58,3.50,3.20,3.22,3.37,Sangat Memuaskan
3.63,3.04,3.72,3.03,3.64,2.81,3.31,Sangat Memuaskan
2.71,2.66,2.51,3.08,3.94,3.88,3.13,Sangat Memuaskan
3.86,4.00,2.56,3.29,2.59,2.74,3.17,Sangat Memuaskan
2.55,3.94,3.03,2.89,3.55,3.84,3.30,Sangat Memuaskan
2.53,2.52,2.88,3.45,3.03,3.17,2.93,Sangat Memuaskan
3.05,3.26,2.59,3.77,2.57,3.23,3.08,Sangat Memuaskan
3.25,3.75,3.59,3.84,2.60,2.73,3.29,Sangat Memuaskan
3.33,3.50,2.96,3.63,2.74,3.16,3.22,Sangat Memuaskan
2.56,3.97,3.00,2.57,3.07,3.64,3.13,Sangat Memuaskan
2.52,2.96,3.83,2.68,3.72,3.86,3.26,Sangat Memuaskan
2.99,3.89,2.96,2.86,3.51,2.65,3.15,Sangat Memuaskan
3.65,2.56,3.77,3.05,3.55,2.91,3.25,Sangat Memuaskan
3.10,2.91,2.97,2.53,3.90,2.73,3.02,Sangat Memuaskan
2.77,3.45,3.80,3.65,3.49,3.44,3.43,Sangat Memuaskan
3.10,3.92,3.95,2.72,2.74,2.57,3.17,Sangat Memuaskan
3.60,3.41,3.43,2.97,3.36,2.90,3.28,Sangat Memuaskan
3.65,2.95,2.90,3.87,3.09,3.78,3.37,Sangat Memuaskan
3.80,3.95,2.84,3.41,3.48,3.14,3.44,Sangat Memuaskan
2.65,3.45,3.34,2.65,3.55,2.71,3.06,Sangat Memuaskan
3.20,3.70,3.33,3.52,3.19,3.52,3.41,Sangat Memuaskan
3.41,3.65,3.62,3.23,3.52,3.55,3.50,Sangat Memuaskan
2.80,2.55,3.44,3.89,3.94,2.69,3.22,Sangat Memuaskan
3.24,2.84,2.93,2.89,3.43,2.86,3.03,Sangat Memuaskan
3.54,2.78,2.67,3.55,2.55,3.67,3.13,Sangat Memuaskan
3.20,3.08,3.21,3.59,3.95,3.99,3.50,Sangat Memuaskan
2.67,3.60,3.11,3.25,2.61,3.45,3.12,Sangat Memuaskan
3.42,2.58,2.80,3.36,3.94,3.41,3.25,Sangat Memuaskan
3.66,2.67,3.58,2.55,3.64,3.80,3.32,Sangat Memuaskan
3.07,3.18,3.71,3.22,3.54,2.55,3.21,Sangat Memuaskan
3.53,3.26,3.60,3.56,3.64,2.78,3.39,Sangat Memuaskan
3.92,3.52,3.46,3.64,2.70,3.44,3.45,Sangat Memuaskan
3.76,3.00,4.00,2.64,3.92,3.25,3.43,Sangat Memuaskan
2.58,3.25,2.79,2.81,3.05,3.19,2.95,Sangat Memuaskan
2.97,2.95,3.57,2.71,2.57,3.81,3.10,Sangat Memuaskan
2.99,3.69,2.86,3.74,2.54,3.03,3.14,Sangat Memuaskan
2.73,2.86,3.72,3.15,3.28,3.06,3.13,Sangat Memuaskan
2.86,2.72,3.42,3.14,2.97,3.03,3.02,Sangat Memuaskan
3.45,3.18,3.56,3.11,3.19,2.89,3.23,Sangat Memuaskan
3.85,3.27,2.73,2.94,3.84,3.17,3.30,Sangat Memuaskan
3.27,2.66,2.94,3.81,2.79,3.88,3.23,Sangat Memuaskan
3.67,3.08,3.69,2.68,2.60,3.08,3.13,Sangat Memuaskan
3.53,3.14,3.56,3.68,2.72,2.87,3.25,Sangat Memuaskan
3.44,3.80,2.85,3.45,2.61,3.90,3.34,Sangat Memuaskan
3.29,3.85,3.67,2.66,3.64,2.84,3.32,Sangat Memuaskan
2.67,2.70,2.64,3.75,2.80,3.67,3.04,Sangat Memuaskan
2.71,3.46,3.84,3.58,3.39,2.85,3.31,Sangat Memuaskan
2.82,3.41,2.63,3.42,3.60,3.32,3.20,Sangat Memuaskan
2.99,3.92,2.77,3.03,3.14,3.21,3.17,Sangat Memuaskan
3.40,2.84,3.40,3.10,3.47,3.64,3.31,Sangat Memuaskan
3.15,3.58,3.17,3.10,3.40,2.94,3.22,Sangat Memuaskan
3.38,2.80,3.68,2.72,3.92,3.85,3.39,Sangat Memuaskan
3.84,3.90,3.80,3.19,3.62,2.76,3.52,Cumlaude
3.69,2.83,3.73,3.32,3.32,3.68,3.43,Sangat Memuaskan
3.77,3.89,3.66,3.89,3.36,3.82,3.73,Cumlaude
3.46,3.73,2.50,3.27,3.92,3.52,3.40,Sangat Memuaskan
3.34,2.89,3.28,3.50,3.08,3.58,3.28,Sangat Memuaskan
3.25,3.22,3.80,3.96,3.00,2.97,3.37,Sangat Memuaskan
3.62,3.58,3.70,2.58,3.25,2.99,3.29,Sangat Memuaskan
2.80,2.68,2.94,2.84,3.84,3.39,3.08,Sangat Memuaskan
3.86,3.59,3.53,3.85,3.17,2.57,3.43,Sangat Memuaskan
3.43,2.67,3.80,3.31,2.62,3.09,3.15,Sangat Memuaskan
3.97,2.74,2.79,3.25,3.97,3.90,3.44,Sangat Memuaskan
3.95,2.68,2.87,4.00,3.25,3.14,3.31,Sangat Memuaskan
3.85,2.56,3.15,3.00,2.54,3.36,3.08,Sangat Memuaskan
2.90,2.81,3.29,2.80,2.53,3.31,2.94,Sangat Memuaskan
3.48,3.52,3.39,3.61,3.95,3.42,3.56,Cumlaude
3.53,3.83,3.71,3.93,3.77,3.36,3.69,Cumlaude
2.76,3.00,3.30,3.83,3.12,2.78,3.13,Sangat Memuaskan
2.70,3.01,2.99,3.12,2.77,3.35,2.99,Sangat Memuaskan
3.02,2.86,3.66,3.97,2.81,3.00,3.22,Sangat Memuaskan
3.28,3.59,3.34,2.83,3.64,3.72,3.40,Sangat Memuaskan
3.41,2.69,2.81,2.52,3.96,2.72,3.02,Sangat Memuaskan
3.47,3.41,3.54,3.65,2.84,3.03,3.32,Sangat Memuaskan
2.67,3.64,3.13,3.62,2.93,2.93,3.15,Sangat Memuaskan
3.70,3.71,3.62,2.53,3.72,2.64,3.32,Sangat Memuaskan
3.28,2.83,2.97,3.28,3.32,3.34,3.17,Sangat Memuaskan
2.81,3.68,3.57,3.51,2.86,2.54,3.16,Sangat Memuaskan
3.77,3.42,3.06,3.57,3.30,2.82,3.32,Sangat Memuaskan
4.00,3.97,3.57,3.38,3.91,3.75,3.76,Cumlaude
3.49,3.70,3.84,2.77,3.82,2.51,3.36,Sangat Memuaskan
3.54,2.93,3.28,3.91,3.32,2.73,3.28,Sangat Memuaskan
3.69,2.74,3.60,3.97,2.59,3.95,3.42,Sangat Memuaskan
3.97,3.58,3.19,3.94,3.66,3.45,3.63,Cumlaude
2.81,3.83,3.77,2.72,3.24,3.46,3.30,Sangat Memuaskan
3.61,2.79,2.50,2.96,2.80,2.72,2.90,Sangat Memuaskan
3.99,3.37,3.44,3.15,3.89,3.64,3.58,Cumlaude
3.48,3.56,3.60,3.13,3.42,3.35,3.43,Sangat Memuaskan
3.18,3.75,3.39,3.74,3.90,3.06,3.50,Sangat Memuaskan
3.76,3.59,3.56,3.77,3.56,3.74,3.66,Cumlaude
3.92,3.66,3.30,3.19,3.44,3.23,3.46,Sangat Memuaskan
3.53,3.62,3.52,3.64,3.68,3.84,3.64,Cumlaude
3.06,3.96,3.83,3.51,3.54,3.17,3.51,Cumlaude
3.61,3.89,3.84,3.75,3.54,3.88,3.75,Cumlaude
3.28,3.15,3.62,3.78,3.57,3.83,3.54,Cumlaude
3.76,3.15,3.34,3.32,3.82,3.14,3.42,Sangat Memuaskan
3.53,3.11,3.53,3.39,3.06,3.23,3.31,Sangat Memuaskan
3.53,3.53,3.87,3.68,3.94,3.82,3.73,Cumlaude
3.35,3.30,3.57,3.03,3.08,3.76,3.35,Sangat Memuaskan
3.13,3.09,3.06,3.64,3.32,3.10,3.22,Sangat Memuaskan
3.25,3.30,3.73,3.29,3.69,3.38,3.44,Sangat Memuaskan
3.54,3.94,3.64,3.65,3.83,3.68,3.71,Cumlaude
3.06,3.50,3.27,3.03,3.90,3.50,3.38,Sangat Memuaskan
3.83,3.27,3.95,3.48,3.86,3.04,3.57,Cumlaude
3.51,3.87,3.50,3.58,3.48,3.06,3.50,Sangat Memuaskan
3.98,3.67,3.61,3.54,3.59,3.86,3.71,Cumlaude
3.49,3.14,3.60,3.38,3.59,3.76,3.49,Sangat Memuaskan
3.88,3.11,3.11,3.43,3.86,3.66,3.51,Sangat Memuaskan
3.57,3.93,3.61,3.60,3.74,3.94,3.73,Cumlaude
3.69,3.80,3.88,3.70,3.76,3.68,3.75,Cumlaude
3.07,3.43,3.41,3.79,3.75,3.93,3.57,Cumlaude
3.69,3.34,3.25,3.06,3.40,3.52,3.37,Sangat Memuaskan
3.86,3.37,3.23,3.85,3.13,3.17,3.44,Sangat Memuaskan
3.87,3.57,3.96,3.54,3.72,3.55,3.70,Cumlaude
3.11,3.38,3.49,3.80,3.61,3.00,3.40,Sangat Memuaskan
3.17,3.72,3.28,3.81,3.07,3.24,3.38,Sangat Memuaskan
3.55,3.94,3.63,3.64,3.11,3.92,3.63,Cumlaude
3.74,3.63,3.81,3.87,3.69,3.94,3.78,Cumlaude
3.85,3.42,3.61,3.78,3.92,3.92,3.75,Cumlaude
3.15,3.20,3.43,3.58,3.87,3.05,3.38,Sangat Memuaskan
3.91,4.00,3.38,3.36,3.61,3.90,3.69,Cumlaude
3.97,3.99,3.85,3.98,3.81,3.93,3.92,Cumlaude
3.77,3.30,3.71,3.40,3.98,3.62,3.63,Cumlaude
3.05,3.15,3.06,3.87,3.99,3.49,3.44,Sangat Memuaskan
3.88,3.22,3.64,3.56,3.49,3.70,3.58,Cumlaude
3.74,3.69,3.88,3.66,3.78,3.53,3.71,Cumlaude
3.40,3.93,3.66,3.72,3.65,3.85,3.70,Cumlaude
3.96,3.09,3.49,3.88,3.82,3.59,3.64,Cumlaude
3.82,3.84,3.19,3.58,3.67,3.41,3.59,Cumlaude
3.89,3.96,3.69,3.80,3.84,3.52,3.78,Cumlaude
3.80,3.02,3.39,3.79,3.77,3.74,3.59,Cumlaude
3.70,3.23,3.72,3.03,3.29,3.41,3.40,Sangat Memuaskan
3.58,3.48,3.71,3.69,3.67,3.23,3.56,Cumlaude
3.71,3.53,3.84,3.54,3.64,3.97,3.71,Cumlaude
3.74,3.44,3.98,3.84,3.35,3.16,3.59,Cumlaude
3.47,3.97,3.92,3.53,3.05,3.95,3.65,Cumlaude
3.00,3.46,3.53,3.36,3.67,3.57,3.43,Sangat Memuaskan
3.65,3.57,3.53,3.67,3.63,3.88,3.65,Cumlaude
3.16,3.93,3.60,3.83,3.34,3.29,3.53,Cumlaude
3.93,3.34,3.78,3.21,3.46,3.03,3.46,Sangat Memuaskan
3.74,3.38,3.23,3.26,3.28,3.43,3.39,Sangat Memuaskan
3.63,3.88,3.79,3.80,3.69,3.61,3.73,Cumlaude
3.59,3.77,3.17,3.38,3.23,3.16,3.38,Sangat Memuaskan
3.14,3.90,3.43,3.70,3.68,3.79,3.61,Cumlaude
3.49,3.48,3.29,3.23,3.12,3.17,3.30,Sangat Memuaskan
3.51,3.92,3.59,3.70,3.59,3.68,3.67,Cumlaude
3.37,3.40,3.84,3.67,3.50,3.95,3.62,Cumlaude
3.67,3.48,3.39,3.33,3.04,3.44,3.39,Sangat Memuaskan
3.68,3.79,3.74,3.01,3.68,3.50,3.57,Cumlaude
3.53,3.81,3.83,3.83,3.74,3.51,3.71,Cumlaude
3.56,3.42,3.43,3.24,3.38,3.20,3.37,Sangat Memuaskan
3.66,4.00,3.51,3.53,3.57,3.65,3.65,Cumlaude
3.99,3.98,3.89,3.89,3.41,3.26,3.74,Cumlaude
3.82,3.79,3.99,3.85,3.77,3.50,3.79,Cumlaude
3.56,3.04,3.54,3.16,3.37,3.15,3.30,Sangat Memuaskan
3.20,3.25,3.05,3.94,3.18,3.85,3.41,Sangat Memuaskan
3.03,3.18,3.74,3.30,3.01,3.46,3.29,Sangat Memuaskan
3.84,3.71,3.95,3.81,3.73,3.85,3.82,Cumlaude
3.32,3.91,3.74,3.81,3.35,3.49,3.60,Cumlaude
3.46,3.31,3.99,3.95,3.05,3.41,3.53,Cumlaude
3.04,3.86,3.53,3.75,3.58,3.05,3.47,Sangat Memuaskan
3.95,3.94,3.66,3.94,3.55,3.99,3.84,Cumlaude
3.87,3.25,3.22,3.13,3.98,3.95,3.57,Cumlaude
3.37,3.08,3.11,3.52,3.67,3.70,3.41,Sangat Memuaskan
3.90,3.00,3.64,3.85,3.91,3.82,3.69,Cumlaude
3.54,3.60,3.70,3.74,3.54,3.98,3.68,Cumlaude
3.25,3.90,3.31,3.82,3.67,3.04,3.50,Sangat Memuaskan
3.96,3.61,3.82,3.38,3.33,3.74,3.64,Cumlaude
3.04,3.85,3.66,3.14,3.55,3.78,3.50,Sangat Memuaskan
3.80,3.99,3.79,3.70,3.99,3.72,3.83,Cumlaude
3.52,3.45,3.81,3.15,3.15,3.39,3.41,Sangat Memuaskan
3.25,3.10,3.32,3.51,3.51,3.24,3.32,Sangat Memuaskan
3.31,3.00,3.41,3.96,3.84,3.59,3.52,Cumlaude
3.85,3.84,3.94,3.96,3.83,3.58,3.83,Cumlaude
3.66,3.89,3.94,3.19,3.70,3.71,3.68,Cumlaude
3.77,3.97,3.91,3.17,3.95,3.36,3.69,Cumlaude
3.56,3.62,3.24,3.35,3.45,3.64,3.48,Sangat Memuaskan
3.74,3.97,3.92,3.92,3.65,3.91,3.85,Cumlaude
3.98,3.90,3.22,3.68,3.53,3.19,3.58,Cumlaude
3.10,3.05,3.14,3.66,3.58,3.86,3.40,Sangat Memuaskan
3.26,3.45,3.54,3.02,3.12,3.12,3.25,Sangat Memuaskan
3.55,3.63,3.60,3.70,3.83,3.70,3.67,Cumlaude
3.06,3.93,3.78,3.95,3.71,3.04,3.58,Cumlaude
3.61,3.58,3.66,3.48,3.08,3.54,3.49,Sangat Memuaskan
3.77,3.44,3.43,3.59,3.05,3.99,3.54,Cumlaude
3.77,3.84,3.67,3.65,3.96,3.67,3.76,Cumlaude
3.91,3.86,3.17,3.67,3.80,3.13,3.59,Cumlaude
3.95,3.56,3.37,3.30,3.73,3.17,3.51,Cumlaude
3.94,3.40,3.36,3.09,3.74,3.51,3.51,Sangat Memuaskan
3.64,3.74,3.69,3.53,3.66,3.79,3.68,Cumlaude
3.42,3.27,3.56,3.53,3.65,3.29,3.45,Sangat Memuaskan
3.50,3.57,3.54,3.28,3.51,3.12,3.42,Sangat Memuaskan
3.01,3.51,3.63,3.90,3.96,3.89,3.65,Cumlaude
3.94,3.81,3.71,3.94,3.58,3.89,3.81,Cumlaude
3.81,3.40,3.54,3.51,3.62,3.88,3.62,Cumlaude
3.44,3.96,3.54,3.71,3.45,3.82,3.65,Cumlaude
3.62,3.41,3.97,3.05,3.70,3.44,3.53,Cumlaude
3.96,3.70,3.97,3.87,3.66,3.85,3.84,Cumlaude
3.03,3.89,3.98,3.23,3.70,3.05,3.48,Sangat Memuaskan
3.62,3.35,3.71,3.27,3.42,3.07,3.41,Sangat Memuaskan
3.60,3.73,3.55,3.26,3.05,3.68,3.48,Sangat Memuaskan
3.85,3.62,3.79,3.77,3.89,3.98,3.82,Cumlaude
3.77,3.73,3.81,3.11,3.47,3.05,3.49,Sangat Memuaskan
3.22,3.37,3.17,3.61,3.09,3.48,3.32,Sangat Memuaskan
3.29,3.37,3.85,3.38,3.62,3.07,3.43,Sangat Memuaskan
3.90,3.82,3.55,3.56,3.68,3.81,3.72,Cumlaude
3.75,3.02,3.55,3.62,3.23,3.63,3.47,Sangat Memuaskan
3.54,3.29,3.66,3.94,3.08,3.88,3.57,Cumlaude
3.89,3.37,3.27,3.39,3.64,3.31,3.48,Sangat Memuaskan
3.77,3.70,3.96,3.53,3.95,3.78,3.78,Cumlaude
3.94,3.79,3.58,3.53,3.43,3.87,3.69,Cumlaude
3.00,3.63,3.08,3.14,3.94,3.48,3.38,Sangat Memuaskan
4.00,3.74,3.72,3.89,3.67,3.31,3.72,Cumlaude
3.99,3.51,3.67,3.69,3.66,3.83,3.72,Cumlaude
3.52,3.16,3.93,3.05,3.85,3.62,3.52,Cumlaude
3.09,3.37,3.87,3.05,3.18,3.89,3.41,Sangat Memuaskan
3.94,3.47,3.26,3.29,3.65,3.60,3.54,Cumlaude
3.80,3.93,3.58,3.66,3.57,3.97,3.75,Cumlaude
3.02,3.30,3.91,3.56,3.90,3.48,3.53,Cumlaude
3.56,3.64,3.06,3.47,3.14,3.53,3.40,Sangat Memuaskan
3.86,3.83,3.94,3.83,3.98,3.15,3.76,Cumlaude
3.74,3.69,3.59,3.54,3.68,3.86,3.68,Cumlaude
3.44,3.82,3.54,3.09,3.50,3.23,3.44,Sangat Memuaskan
3.82,3.93,3.19,3.19,3.94,3.09,3.53,Cumlaude
3.25,3.17,3.04,3.38,3.14,3.14,3.19,Sangat Memuaskan
3.52,3.63,3.97,3.82,3.79,3.71,3.74,Cumlaude
3.74,3.63,3.98,3.52,3.84,3.19,3.65,Cumlaude
3.37,3.72,4.00,3.96,3.21,3.58,3.64,Cumlaude
3.07,3.32,3.36,3.19,3.93,3.21,3.35,Sangat Memuaskan
3.78,3.79,3.97,3.98,3.91,3.89,3.89,Cumlaude
3.18,3.85,3.16,3.53,3.34,3.71,3.46,Sangat Memuaskan
3.72,3.64,3.73,3.43,3.22,3.04,3.46,Sangat Memuaskan
3.98,3.08,3.59,3.05,3.45,3.59,3.46,Sangat Memuaskan
3.75,3.55,3.97,3.77,3.79,3.59,3.74,Cumlaude
3.76,3.59,3.22,3.52,3.38,3.33,3.47,Sangat Memuaskan
3.44,3.76,3.86,3.03,3.73,3.04,3.48,Sangat Memuaskan
3.25,3.46,3.64,3.52,3.98,3.60,3.58,Cumlaude
3.53,3.53,3.81,3.65,3.82,3.62,3.66,Cumlaude
3.89,3.64,3.78,3.59,3.34,3.41,3.61,Cumlaude
3.36,3.83,3.32,3.47,3.02,3.39,3.40,Sangat Memuaskan
3.96,3.96,3.21,3.33,3.18,3.29,3.49,Sangat Memuaskan
3.55,3.93,3.87,3.99,3.85,3.60,3.80,Cumlaude
3.71,3.05,3.41,3.45,3.45,3.02,3.35,Sangat Memuaskan
3.42,3.71,3.94,3.11,3.21,3.51,3.48,Sangat Memuaskan
3.40,3.75,3.29,3.44,3.05,3.19,3.35,Sangat Memuaskan
3.86,3.64,3.51,3.85,3.73,3.94,3.75,Cumlaude
3.47,3.71,3.16,3.52,3.56,3.94,3.56,Cumlaude
3.54,3.88,3.58,3.88,3.30,3.01,3.53,Cumlaude
3.05,3.97,3.18,3.08,3.75,3.05,3.35,Sangat Memuaskan
3.57,3.73,3.84,3.57,3.66,3.63,3.67,Cumlaude
3.30,3.09,3.20,3.45,3.10,3.41,3.26,Sangat Memuaskan
3.13,3.12,3.76,3.86,3.63,3.01,3.42,Sangat Memuaskan
3.45,3.37,3.03,3.57,3.91,3.78,3.52,Cumlaude
3.55,3.36,3.71,3.17,3.03,3.47,3.38,Sangat Memuaskan
3.46,3.56,3.88,3.97,3.17,3.02,3.51,Sangat Memuaskan
3.38,3.08,3.31,3.92,3.47,3.25,3.40,Sangat Memuaskan
3.41,3.38,3.72,3.09,3.05,3.44,3.35,Sangat Memuaskan
3.49,3.52,3.34,3.90,3.78,3.29,3.55,Cumlaude
3.28,3.69,3.14,3.44,3.63,3.21,3.40,Sangat Memuaskan
3.45,3.72,3.07,3.01,3.39,3.55,3.36,Sangat Memuaskan
3.40,3.56,3.74,3.62,3.51,3.33,3.53,Cumlaude
3.10,3.06,3.03,3.54,3.93,3.43,3.35,Sangat Memuaskan
3.32,3.68,3.65,3.55,3.18,3.73,3.52,Cumlaude
3.69,3.78,3.82,3.54,3.31,3.54,3.61,Cumlaude
3.37,3.59,3.52,3.29,3.46,3.59,3.47,Sangat Memuaskan
3.63,3.96,3.64,3.76,3.78,3.70,3.75,Cumlaude
3.39,3.77,3.57,3.66,3.72,3.24,3.56,Cumlaude
3.41,3.21,3.74,3.10,3.01,3.09,3.26,Sangat Memuaskan
3.52,3.65,3.42,3.30,3.93,3.94,3.63,Cumlaude
3.75,3.22,3.84,4.00,3.59,3.41,3.63,Cumlaude
3.48,3.98,3.07,3.83,3.30,3.75,3.57,Cumlaude
3.31,3.76,3.04,3.53,3.21,3.43,3.38,Sangat Memuaskan
3.94,3.58,3.13,3.66,3.58,3.27,3.53,Cumlaude
3.57,3.63,3.06,3.28,3.74,3.27,3.43,Sangat Memuaskan
3.26,3.97,3.15,3.20,3.80,3.22,3.43,Sangat Memuaskan
3.03,3.23,3.28,3.08,3.67,3.02,3.22,Sangat Memuaskan
3.82,3.28,3.17,3.25,3.02,3.50,3.34,Sangat Memuaskan
3.84,3.12,3.67,3.33,3.63,3.19,3.46,Sangat Memuaskan
3.31,3.40,3.21,3.88,3.88,3.73,3.57,Cumlaude
3.59,3.80,3.49,3.91,3.59,3.13,3.58,Cumlaude
3.31,3.16,3.18,3.63,3.26,3.41,3.32,Sangat Memuaskan
3.97,3.35,3.32,3.16,3.38,3.45,3.44,Sangat Memuaskan
3.72,3.68,3.67,3.95,3.55,3.53,3.68,Cumlaude
3.72,3.55,3.29,3.07,3.87,3.36,3.48,Sangat Memuaskan
3.10,3.12,3.09,3.45,3.00,3.73,3.25,Sangat Memuaskan
3.02,3.83,3.13,3.49,3.85,3.48,3.46,Sangat Memuaskan
3.28,3.28,3.75,3.45,3.24,3.68,3.45,Sangat Memuaskan
3.05,3.13,3.96,3.07,3.28,3.98,3.41,Sangat Memuaskan
3.20,3.84,3.14,3.35,3.07,3.32,3.32,Sangat Memuaskan
3.74,3.18,3.13,3.94,3.76,3.23,3.50,Sangat Memuaskan
3.62,3.34,3.36,3.08,3.45,3.74,3.43,Sangat Memuaskan
3.34,3.32,4.00,3.12,3.22,3.41,3.40,Sangat Memuaskan
3.42,3.23,3.45,3.90,3.77,3.12,3.48,Sangat Memuaskan
3.41,3.73,3.10,3.80,3.34,3.16,3.42,Sangat Memuaskan
3.36,3.62,3.80,3.97,3.56,3.21,3.59,Cumlaude
3.81,3.09,3.05,3.25,3.61,3.00,3.30,Sangat Memuaskan
3.14,3.14,3.10,3.94,3.61,3.19,3.35,Sangat Memuaskan
3.53,3.19,3.10,3.89,3.02,3.42,3.36,Sangat Memuaskan
3.57,3.39,3.44,3.56,3.38,3.84,3.53,Cumlaude
3.89,3.11,3.40,3.14,3.29,3.19,3.34,Sangat Memuaskan
3.31,3.44,3.86,3.80,3.06,3.86,3.56,Cumlaude
3.27,3.33,3.22,3.02,3.35,3.88,3.34,Sangat Memuaskan
3.01,3.51,3.13,3.39,3.50,3.21,3.29,Sangat Memuaskan
3.02,3.46,3.66,3.24,3.25,3.04,3.28,Sangat Memuaskan
3.48,3.50,3.39,3.69,3.11,3.93,3.52,Cumlaude
3.72,3.19,3.58,3.83,3.82,3.25,3.57,Cumlaude
3.58,3.38,3.05,3.90,3.46,3.36,3.46,Sangat Memuaskan
3.54,3.24,3.96,3.33,3.88,3.21,3.53,Cumlaude
3.94,3.48,3.26,3.70,3.63,3.17,3.53,Cumlaude
3.87,3.47,3.21,3.54,3.52,3.63,3.54,Cumlaude
3.44,3.42,3.55,3.39,3.97,3.30,3.51,Cumlaude
3.87,3.11,3.38,3.25,3.28,3.45,3.39,Sangat Memuaskan
3.16,3.74,3.12,3.96,3.56,3.66,3.53,Cumlaude
3.87,3.79,3.22,3.54,3.57,3.65,3.61,Cumlaude
3.51,3.36,3.86,3.33,3.10,3.24,3.40,Sangat Memuaskan
3.56,3.83,3.82,3.15,3.95,3.93,3.70,Cumlaude
3.35,3.48,3.55,3.97,3.41,3.14,3.48,Sangat Memuaskan
3.32,3.69,3.47,3.21,3.01,3.01,3.29,Sangat Memuaskan
3.96,3.20,3.76,3.09,3.54,3.01,3.42,Sangat Memuaskan
3.19,3.89,3.82,3.14,3.64,3.47,3.52,Cumlaude
3.96,3.75,3.60,3.51,3.70,3.05,3.59,Cumlaude
3.17,3.10,3.24,3.23,3.52,3.87,3.35,Sangat Memuaskan
3.90,3.68,3.96,3.08,3.77,3.35,3.63,Cumlaude
3.93,3.98,3.88,3.60,3.52,3.28,3.70,Cumlaude
3.64,3.83,3.71,3.42,3.67,3.70,3.66,Cumlaude
3.42,3.51,3.85,3.16,3.89,3.40,3.54,Cumlaude
3.88,3.74,3.53,3.01,3.63,3.86,3.61,Cumlaude
3.38,3.15,3.83,3.26,3.03,3.47,3.35,Sangat Memuaskan
3.84,3.97,3.99,3.50,3.93,3.05,3.71,Cumlaude
3.62,3.13,3.54,3.08,3.95,3.25,3.43,Sangat Memuaskan
3.52,3.47,3.62,3.62,3.53,3.99,3.62,Cumlaude
3.07,3.07,3.88,3.53,3.89,3.44,3.48,Sangat Memuaskan
3.88,3.62,3.66,3.59,3.56,3.08,3.56,Cumlaude
3.06,3.41,3.55,3.79,3.65,3.76,3.54,Cumlaude
3.51,3.64,3.81,3.96,3.87,3.43,3.70,Cumlaude
3.49,3.51,3.84,3.82,3.28,3.68,3.60,Cumlaude
3.71,3.08,3.72,3.86,3.28,3.38,3.50,Sangat Memuaskan
3.79,3.13,3.11,3.49,3.13,3.70,3.39,Sangat Memuaskan
3.84,3.08,3.43,3.87,4.00,3.54,3.63,Cumlaude
3.69,3.28,3.92,3.69,3.68,3.70,3.66,Cumlaude
3.80,3.96,3.69,3.54,3.08,3.52,3.60,Cumlaude
3.80,3.10,3.75,3.48,3.10,3.55,3.46,Sangat Memuaskan
3.06,3.69,3.29,3.20,3.52,3.82,3.43,Sangat Memuaskan
3.13,3.89,3.31,3.30,3.14,3.87,3.44,Sangat Memuaskan
